id,substring,weight,numero
284,mu,99.0,1
285,ect,99.0,1
286,op,99.0,1
287,mos,99.0,1
288,um,99.0,1
289,rá,97.0,1
290,ut,97.0,1
291,fo,96.0,1
292,ud,96.0,1
293,ble,96.0,1
294,can,96.0,1
295,tal,95.0,1
296,ver,95.0,1
297,iz,95.0,1
298,min,95.0,1
299,ios,95.0,1
300,esi,93.0,1
301,ras,93.0,1
302,tas,93.0,1
303,cons,93.0,1
304,ntr,92.0,1
305,der,92.0,1
306,ados,92.0,1
307,rac,92.0,1
308,omp,92.0,1
309,ros,91.0,1
310,tad,91.0,1
311,lt,91.0,1
312,ndi,91.0,1
313,ef,91.0,1
314,ene,90.0,1
315,cont,90.0,1
316,mar,90.0,1
317,bo,90.0,1
318,amente,90.0,1
319,ora,89.0,1
320,au,89.0,1
321,mie,89.0,1
322,comp,89.0,1
323,mb,88.0,1
324,rma,88.0,1
325,acio,88.0,1
326,je,88.0,1
327,fr,88.0,1
328,ert,87.0,1
329,ana,87.0,1
330,nde,86.0,1
331,cer,86.0,1
332,pres,86.0,1
333,nti,86.0,1
334,cl,86.0,1
335,ore,86.0,1
336,cor,86.0,1
337,ho,85.0,1
338,qui,85.0,1
339,iva,85.0,1
340,mien,84.0,1
341,lar,84.0,1
342,ven,84.0,1
343,que,83.0,1
344,esa,83.0,1
345,ide,83.0,1
346,rg,83.0,1
347,ort,83.0,1
348,lic,83.0,1
349,ele,83.0,1
350,ez,82.0,1
351,art,82.0,1
352,ano,82.0,1
353,ere,82.0,1
354,fa,82.0,1
355,iento,82.0,1
356,tan,81.0,1
357,acion,81.0,1
358,dic,81.0,1
359,anc,81.0,1
360,cas,80.0,1
361,nf,80.0,1
362,spe,80.0,1
363,ens,80.0,1
364,dor,80.0,1
365,cie,79.0,1
366,por,78.0,1
367,aj,78.0,1
368,cos,78.0,1
369,are,78.0,1
370,cid,78.0,1
371,rar,78.0,1
372,ial,77.0,1
373,av,77.0,1
374,lle,77.0,1
375,nv,77.0,1
376,án,76.0,1
377,nu,76.0,1
378,das,76.0,1
379,cen,76.0,1
380,inte,76.0,1
381,if,76.0,1
382,mient,75.0,1
383,edi,75.0,1
384,sen,75.0,1
385,inc,75.0,1
386,nda,75.0,1
387,gen,74.0,1
388,abl,74.0,1
389,ores,74.0,1
390,rado,74.0,1
391,rta,73.0,1
392,lid,73.0,1
393,ese,72.0,1
394,ng,72.0,1
395,cc,72.0,1
396,ub,72.0,1
397,lan,72.0,1
398,ando,71.0,1
399,fu,71.0,1
400,tro,71.0,1
401,rn,71.0,1
402,orm,71.0,1
403,ario,71.0,1
404,miento,71.0,1
405,iza,71.0,1
406,ias,71.0,1
407,ría,70.0,1
408,nic,70.0,1
409,ju,69.0,1
410,cto,69.0,1
411,ena,69.0,1
412,cci,69.0,1
413,cul,69.0,1
414,ito,69.0,1
415,nos,68.0,1
416,jo,68.0,1
417,gra,68.0,1
418,ill,68.0,1
419,sió,68.0,1
420,sión,68.0,1
421,tur,68.0,1
422,ues,67.0,1
423,iona,67.0,1
424,ece,67.0,1
425,dis,67.0,1
426,ú,66.0,1
427,ade,66.0,1
428,nal,66.0,1
429,eb,66.0,1
430,ami,66.0,1
431,og,66.0,1
432,raci,66.0,1
433,erm,66.0,1
434,nar,66.0,1
435,ori,65.0,1
436,eta,65.0,1
437,acione,65.0,1
438,aciones,65.0,1
439,imi,65.0,1
440,ati,65.0,1
441,cad,64.0,1
442,for,64.0,1
443,dr,64.0,1
444,ces,64.0,1
445,mpl,64.0,1
446,cha,64.0,1
447,eo,64.0,1
448,ric,64.0,1
449,tado,63.0,1
450,uer,63.0,1
451,err,63.0,1
452,cre,63.0,1
453,ula,63.0,1
454,ivo,63.0,1
455,ste,62.0,1
456,ili,62.0,1
457,ista,62.0,1
458,iend,62.0,1
459,rte,61.0,1
460,pon,61.0,1
461,tac,61.0,1
462,ciona,60.0,1
463,rti,60.0,1
464,ers,60.0,1
465,up,60.0,1
466,lida,60.0,1
467,espe,60.0,1
468,iente,60.0,1
469,rse,60.0,1
470,ser,59.0,1
471,sto,59.0,1
472,he,59.0,1
473,ña,59.0,1
474,ela,59.0,1
475,ini,59.0,1
476,cal,59.0,1
477,nsi,59.0,1
478,los,58.0,1
479,nad,58.0,1
480,ral,58.0,1
481,hi,58.0,1
482,pos,58.0,1
483,cam,58.0,1
484,uni,58.0,1
485,nter,58.0,1
486,xi,58.0,1
487,ete,58.0,1
488,tó,58.0,1
489,able,58.0,1
490,ega,57.0,1
491,ata,57.0,1
492,entes,57.0,1
493,ador,57.0,1
494,tin,57.0,1
495,ome,56.0,1
496,rv,56.0,1
497,sal,56.0,1
498,ov,56.0,1
499,nz,56.0,1
500,reci,56.0,1
501,emp,55.0,1
502,itu,55.0,1
503,imp,55.0,1
504,arr,55.0,1
505,leg,55.0,1
506,rat,55.0,1
507,bu,55.0,1
508,act,55.0,1
509,aria,55.0,1
510,ino,54.0,1
511,ner,54.0,1
512,tica,54.0,1
513,nas,54.0,1
514,all,54.0,1
515,egu,54.0,1
516,pec,54.0,1
517,ama,54.0,1
518,az,54.0,1
519,ban,54.0,1
520,eco,54.0,1
521,col,54.0,1
522,rre,54.0,1
523,ind,54.0,1
524,tri,54.0,1
525,cue,53.0,1
526,lidad,53.0,1
527,aro,53.0,1
528,amo,53.0,1
529,tura,53.0,1
530,ntos,53.0,1
531,gan,53.0,1
532,ono,53.0,1
533,reg,53.0,1
534,ern,52.0,1
535,tab,52.0,1
536,oci,52.0,1
537,cial,52.0,1
538,sar,52.0,1
539,rea,52.0,1
540,sos,52.0,1
541,exp,52.0,1
542,xp,52.0,1
543,ret,52.0,1
544,ende,52.0,1
545,tiva,52.0,1
546,añ,51.0,1
547,mer,51.0,1
548,ber,51.0,1
549,eda,51.0,1
550,uel,51.0,1
551,duc,51.0,1
552,liz,51.0,1
553,nst,51.0,1
554,uci,51.0,1
555,mina,51.0,1
556,las,50.0,1
557,tre,50.0,1
558,form,50.0,1
559,uest,50.0,1
560,ust,50.0,1
561,isi,50.0,1
562,fer,50.0,1
563,endo,50.0,1
564,eme,50.0,1
565,len,50.0,1
566,nce,49.0,1
567,estr,49.0,1
568,bra,49.0,1
569,erc,49.0,1
570,dia,49.0,1
571,lm,49.0,1
572,lec,49.0,1
573,taci,49.0,1
574,tam,48.0,1
575,ay,48.0,1
576,pue,48.0,1
577,ual,48.0,1
578,ip,48.0,1
579,sent,48.0,1
580,erv,48.0,1
581,apa,48.0,1
582,ani,48.0,1
583,eni,48.0,1
584,pla,48.0,1
585,nten,48.0,1
586,lv,48.0,1
587,af,48.0,1
588,fica,48.0,1
589,entr,47.0,1
590,sid,47.0,1
591,onc,47.0,1
592,tem,47.0,1
593,port,47.0,1
594,emo,47.0,1
595,ró,47.0,1
596,tivo,47.0,1
597,rit,47.0,1
598,orr,47.0,1
599,ond,46.0,1
600,ace,46.0,1
601,orma,46.0,1
602,llo,46.0,1
603,dec,46.0,1
604,eva,46.0,1
605,stra,46.0,1
606,lad,46.0,1
607,mas,46.0,1
608,eñ,46.0,1
609,olo,46.0,1
610,ecu,46.0,1
611,ració,46.0,1
612,ración,46.0,1
613,rep,46.0,1
614,vie,46.0,1
615,ín,46.0,1
616,liza,46.0,1
617,ost,46.0,1
618,ifi,46.0,1
619,má,45.0,1
620,ño,45.0,1
621,ntra,45.0,1
622,pas,45.0,1
623,die,45.0,1
624,ian,45.0,1
625,ate,45.0,1
626,cri,45.0,1
627,of,45.0,1
628,tí,45.0,1
629,rev,45.0,1
630,pli,45.0,1
631,ativ,45.0,1
632,bre,44.0,1
633,sm,44.0,1
634,vid,44.0,1
635,med,44.0,1
636,rra,44.0,1
637,rro,44.0,1
638,dir,44.0,1
639,spec,44.0,1
640,var,44.0,1
641,ala,44.0,1
642,cien,44.0,1
643,rod,44.0,1
644,cti,44.0,1
645,lica,44.0,1
646,lev,44.0,1
647,eja,44.0,1
648,rmi,44.0,1
649,mit,44.0,1
650,mis,43.0,1
651,unt,43.0,1
652,sit,43.0,1
653,icio,43.0,1
654,vis,43.0,1
655,ima,43.0,1
656,ult,43.0,1
657,ato,43.0,1
658,nve,43.0,1
659,esti,43.0,1
660,icos,43.0,1
661,oca,43.0,1
662,anci,43.0,1
663,xt,43.0,1
664,eli,43.0,1
665,ins,43.0,1
666,nza,43.0,1
667,mpo,42.0,1
668,lí,42.0,1
669,erd,42.0,1
670,dar,42.0,1
671,nid,42.0,1
672,rop,42.0,1
673,ord,42.0,1
674,nse,42.0,1
675,cur,42.0,1
676,pen,42.0,1
677,iero,42.0,1
678,entos,42.0,1
679,pera,42.0,1
680,ext,42.0,1
681,ira,42.0,1
682,ific,42.0,1
683,eso,41.0,1
684,onal,41.0,1
685,tid,41.0,1
686,uen,41.0,1
687,noc,41.0,1
688,sig,41.0,1
689,lta,41.0,1
690,inter,41.0,1
691,ota,41.0,1
692,cció,41.0,1
693,cción,41.0,1
694,cí,41.0,1
695,iendo,41.0,1
696,ivi,41.0,1
697,amos,41.0,1
698,emen,41.0,1
699,sca,41.0,1
700,menta,41.0,1
701,mon,41.0,1
702,hab,40.0,1
703,resi,40.0,1
704,asa,40.0,1
705,ech,40.0,1
706,tir,40.0,1
707,cado,40.0,1
708,tico,40.0,1
709,gad,40.0,1
710,conc,40.0,1
711,ld,40.0,1
712,ntar,40.0,1
713,tie,39.0,1
714,contr,39.0,1
715,ontr,39.0,1
716,mento,39.0,1
717,nac,39.0,1
718,eron,39.0,1
719,sic,39.0,1
720,efe,39.0,1
721,eti,39.0,1
722,scu,39.0,1
723,ló,39.0,1
724,pt,39.0,1
725,cta,39.0,1
726,rid,38.0,1
727,rab,38.0,1
728,tua,38.0,1
729,osi,38.0,1
730,lac,38.0,1
731,ola,38.0,1
732,sol,38.0,1
733,omi,38.0,1
734,imie,38.0,1
735,imien,38.0,1
736,imient,38.0,1
737,oma,38.0,1
738,rica,38.0,1
739,lam,38.0,1
740,conv,38.0,1
741,onv,38.0,1
742,aron,38.0,1
743,adas,38.0,1
744,para,37.0,1
745,part,37.0,1
746,mpr,37.0,1
747,eno,37.0,1
748,forma,37.0,1
749,ye,37.0,1
750,pri,37.0,1
751,ug,37.0,1
752,zo,37.0,1
753,orta,37.0,1
754,san,37.0,1
755,rel,37.0,1
756,cab,37.0,1
757,ecto,37.0,1
758,rios,37.0,1
759,ram,37.0,1
760,erio,37.0,1
761,esen,37.0,1
762,did,37.0,1
763,imiento,37.0,1
764,rie,37.0,1
765,nsa,37.0,1
766,tel,37.0,1
767,evi,37.0,1
768,alm,37.0,1
769,dade,37.0,1
770,tari,37.0,1
771,mpa,37.0,1
772,anta,37.0,1
773,spo,37.0,1
774,abi,37.0,1
775,anz,37.0,1
776,mpe,37.0,1
777,tació,37.0,1
778,tación,37.0,1
779,nado,37.0,1
780,ede,36.0,1
781,ism,36.0,1
782,seg,36.0,1
783,und,36.0,1
784,antes,36.0,1
785,iden,36.0,1
786,fin,36.0,1
787,ema,36.0,1
788,oce,36.0,1
789,oso,36.0,1
790,idos,36.0,1
791,arc,36.0,1
792,cono,36.0,1
793,ole,36.0,1
794,ades,36.0,1
795,ement,36.0,1
796,ile,36.0,1
797,amie,36.0,1
798,amien,36.0,1
799,amient,36.0,1
800,aliz,36.0,1
801,ref,36.0,1
802,ocu,36.0,1
803,corr,36.0,1
804,dica,36.0,1
805,ell,35.0,1
806,cho,35.0,1
807,mad,35.0,1
808,naci,35.0,1
809,asi,35.0,1
810,medi,35.0,1
811,gua,35.0,1
812,pare,35.0,1
813,tim,35.0,1
814,rl,35.0,1
815,inf,35.0,1
816,bli,35.0,1
817,lia,35.0,1
818,nis,35.0,1
819,cla,35.0,1
820,rese,35.0,1
821,uto,35.0,1
822,cac,35.0,1
823,iga,35.0,1
824,cias,35.0,1
825,iad,35.0,1
826,sco,35.0,1
827,ermi,35.0,1
828,icas,35.0,1
829,met,35.0,1
830,sio,35.0,1
831,ieron,35.0,1
832,lig,35.0,1
833,zad,35.0,1
834,efi,35.0,1
835,indi,35.0,1
836,endi,35.0,1
837,mbr,34.0,1
838,ional,34.0,1
839,bar,34.0,1
840,arg,34.0,1
841,ctor,34.0,1
842,rto,34.0,1
843,rca,34.0,1
844,eren,34.0,1
845,caci,34.0,1
846,vers,34.0,1
847,leva,34.0,1
848,amiento,34.0,1
849,sion,34.0,1
850,bri,34.0,1
851,tran,34.0,1
852,ple,34.0,1
853,aca,34.0,1
854,reco,34.0,1
855,cua,33.0,1
856,uy,33.0,1
857,bie,33.0,1
858,dent,33.0,1
859,rim,33.0,1
860,có,33.0,1
861,arti,33.0,1
862,osa,33.0,1
863,imo,33.0,1
864,nco,33.0,1
865,rodu,33.0,1
866,odu,33.0,1
867,eros,33.0,1
868,vos,33.0,1
869,val,33.0,1
870,rga,33.0,1
871,ris,33.0,1
872,fici,33.0,1
873,aliza,33.0,1
874,zar,33.0,1
875,aje,33.0,1
876,egi,33.0,1
877,tit,33.0,1
878,mat,33.0,1
879,come,33.0,1
880,rri,33.0,1
881,iti,33.0,1
882,anza,33.0,1
883,ncias,33.0,1
884,ars,33.0,1
885,arse,33.0,1
886,uie,32.0,1
887,pues,32.0,1
888,stas,32.0,1
889,fre,32.0,1
890,sis,32.0,1
891,iste,32.0,1
892,atr,32.0,1
893,rece,32.0,1
894,ses,32.0,1
895,alid,32.0,1
896,segu,32.0,1
897,trat,32.0,1
898,espec,32.0,1
899,rna,32.0,1
900,igu,32.0,1
901,teri,32.0,1
902,hu,32.0,1
903,serv,32.0,1
904,lor,32.0,1
905,gre,32.0,1
906,icia,32.0,1
907,nor,32.0,1
908,sup,32.0,1
909,dades,32.0,1
910,ulo,32.0,1
911,cido,32.0,1
912,gn,32.0,1
913,ifica,32.0,1
914,eve,32.0,1
915,ican,32.0,1
916,ya,31.0,1
917,ast,31.0,1
918,smo,31.0,1
919,dí,31.0,1
920,tant,31.0,1
921,sad,31.0,1
922,dio,31.0,1
923,unc,31.0,1
924,enti,31.0,1
925,laci,31.0,1
926,puest,31.0,1
927,exi,31.0,1
928,bil,31.0,1
929,fec,31.0,1
930,ancia,31.0,1
931,fun,31.0,1
932,ició,31.0,1
933,aut,31.0,1
934,pie,31.0,1
935,aja,31.0,1
936,iar,31.0,1
937,rci,31.0,1
938,rem,31.0,1
939,uid,31.0,1
940,illa,31.0,1
941,cat,31.0,1
942,icad,31.0,1
943,ás,30.0,1
944,ued,30.0,1
945,ismo,30.0,1
946,és,30.0,1
947,mun,30.0,1
948,ener,30.0,1
949,side,30.0,1
950,dem,30.0,1
951,gar,30.0,1
952,posi,30.0,1
953,alida,30.0,1
954,rp,30.0,1
955,eza,30.0,1
956,alt,30.0,1
957,lega,30.0,1
958,prese,30.0,1
959,ctu,30.0,1
960,sec,30.0,1
961,ctiv,30.0,1
962,icac,30.0,1
963,unci,30.0,1
964,lme,30.0,1
965,conoc,30.0,1
966,onoc,30.0,1
967,ición,30.0,1
968,tom,30.0,1
969,titu,30.0,1
970,ume,30.0,1
971,rib,30.0,1
972,lat,30.0,1
973,son,29.0,1
974,esto,29.0,1
975,cional,29.0,1
976,nen,29.0,1
977,tori,29.0,1
978,adi,29.0,1
979,ibl,29.0,1
980,prop,29.0,1
981,resp,29.0,1
982,van,29.0,1
983,oli,29.0,1
984,presen,29.0,1
985,resen,29.0,1
986,oni,29.0,1
987,roduc,29.0,1
988,oduc,29.0,1
989,elo,29.0,1
990,ase,29.0,1
991,pac,29.0,1
992,udi,29.0,1
993,gui,29.0,1
994,vas,29.0,1
995,esent,29.0,1
996,nica,29.0,1
997,icaci,29.0,1
998,fra,29.0,1
999,ncio,29.0,1
1000,rme,29.0,1
1001,gado,29.0,1
1002,sione,29.0,1
1003,onte,29.0,1
1004,consi,29.0,1
1005,onsi,29.0,1
1006,dera,29.0,1
1007,senta,29.0,1
1008,til,29.0,1
1009,sor,29.0,1
1010,ans,29.0,1
1011,tent,29.0,1
1012,rva,29.0,1
1013,desc,29.0,1
1014,tien,28.0,1
1015,omb,28.0,1
1016,raba,28.0,1
1017,sas,28.0,1
1018,ane,28.0,1
1019,rde,28.0,1
1020,eal,28.0,1
1021,alidad,28.0,1
1022,cin,28.0,1
1023,mor,28.0,1
1024,amp,28.0,1
1025,ing,28.0,1
1026,ine,28.0,1
1027,prod,28.0,1
1028,produ,28.0,1
1029,stu,28.0,1
1030,tud,28.0,1
1031,ves,28.0,1
1032,present,28.0,1
1033,resent,28.0,1
1034,def,28.0,1
1035,stan,28.0,1
1036,pone,28.0,1
1037,ite,28.0,1
1038,lis,28.0,1
1039,via,28.0,1
1040,nan,28.0,1
1041,tend,28.0,1
1042,plic,28.0,1
1043,ntal,28.0,1
1044,rom,28.0,1
1045,ced,28.0,1
1046,mbi,27.0,1
1047,én,27.0,1
1048,ime,27.0,1
1049,mil,27.0,1
1050,oy,27.0,1
1051,ní,27.0,1
1052,nca,27.0,1
1053,rent,27.0,1
1054,arec,27.0,1
1055,lado,27.0,1
1056,rda,27.0,1
1057,erí,27.0,1
1058,señ,27.0,1
1059,ogr,27.0,1
1060,erna,27.0,1
1061,resa,27.0,1
1062,sab,27.0,1
1063,cap,27.0,1
1064,aban,27.0,1
1065,ensa,27.0,1
1066,ares,27.0,1
1067,ular,27.0,1
1068,lmen,27.0,1
1069,lment,27.0,1
1070,lmente,27.0,1
1071,ér,27.0,1
1072,dore,27.0,1
1073,dores,27.0,1
1074,vol,27.0,1
1075,siones,27.0,1
1076,fl,27.0,1
1077,ign,27.0,1
1078,dep,27.0,1
1079,ivos,27.0,1
1080,ote,27.0,1
1081,ecta,27.0,1
1082,tera,27.0,1
1083,isp,27.0,1
1084,del,26.0,1
1085,sin,26.0,1
1086,ís,26.0,1
1087,baj,26.0,1
1088,ías,26.0,1
1089,deb,26.0,1
1090,cuen,26.0,1
1091,uda,26.0,1
1092,ían,26.0,1
1093,porta,26.0,1
1094,tante,26.0,1
1095,esar,26.0,1
1096,rol,26.0,1
1097,roc,26.0,1
1098,cent,26.0,1
1099,mod,26.0,1
1100,anos,26.0,1
1101,mal,26.0,1
1102,cía,26.0,1
1103,nec,26.0,1
1104,inv,26.0,1
1105,lit,26.0,1
1106,itar,26.0,1
1107,mic,26.0,1
1108,alme,26.0,1
1109,rig,26.0,1
1110,tru,26.0,1
1111,onst,26.0,1
1112,rada,26.0,1
1113,uce,26.0,1
1114,cula,26.0,1
1115,eña,26.0,1
1116,apar,26.0,1
1117,her,26.0,1
1118,bs,26.0,1
1119,cep,26.0,1
1120,mó,26.0,1
1121,mple,26.0,1
1122,nif,26.0,1
1123,scr,26.0,1
1124,tame,26.0,1
1125,tamen,26.0,1
1126,conf,26.0,1
1127,onf,26.0,1
1128,lim,26.0,1
1129,emente,26.0,1
1130,idi,26.0,1
1131,orre,26.0,1
1132,ativa,26.0,1
1133,igi,26.0,1
1134,gic,26.0,1
1135,erva,26.0,1
1136,tá,25.0,1
1137,quie,25.0,1
1138,omen,25.0,1
1139,jer,25.0,1
1140,parec,25.0,1
1141,abe,25.0,1
1142,ible,25.0,1
1143,clu,25.0,1
1144,iert,25.0,1
1145,nist,25.0,1
1146,uv,25.0,1
1147,abr,25.0,1
1148,erta,25.0,1
1149,cient,25.0,1
1150,produc,25.0,1
1151,ecc,25.0,1
1152,ecci,25.0,1
1153,cel,25.0,1
1154,uro,25.0,1
1155,cip,25.0,1
1156,ibi,25.0,1
1157,fect,25.0,1
1158,ará,25.0,1
1159,stic,25.0,1
1160,lá,25.0,1
1161,almen,25.0,1
1162,alment,25.0,1
1163,almente,25.0,1
1164,luc,25.0,1
1165,uar,25.0,1
1166,stru,25.0,1
1167,const,25.0,1
1168,té,25.0,1
1169,lant,25.0,1
1170,unta,25.0,1
1171,opo,25.0,1
1172,esenta,25.0,1
1173,log,25.0,1
1174,encias,25.0,1
1175,tabl,25.0,1
1176,dien,25.0,1
1177,nie,25.0,1
1178,át,25.0,1
1179,esca,25.0,1
1180,aco,25.0,1
1181,siv,25.0,1
1182,amb,24.0,1
1183,rno,24.0,1
1184,aña,24.0,1
1185,once,24.0,1
1186,parti,24.0,1
1187,gue,24.0,1
1188,lem,24.0,1
1189,ive,24.0,1
1190,istr,24.0,1
1191,rida,24.0,1
1192,iera,24.0,1
1193,eu,24.0,1
1194,ovi,24.0,1
1195,ilid,24.0,1
1196,ilida,24.0,1
1197,ilidad,24.0,1
1198,alo,24.0,1
1199,nó,24.0,1
1200,iado,24.0,1
1201,idade,24.0,1
1202,idades,24.0,1
1203,isc,24.0,1
1204,orte,24.0,1
1205,perm,24.0,1
1206,compa,24.0,1
1207,ompa,24.0,1
1208,sper,24.0,1
1209,trad,24.0,1
1210,olu,24.0,1
1211,ntad,24.0,1
1212,presenta,24.0,1
1213,resenta,24.0,1
1214,fir,24.0,1
1215,emi,24.0,1
1216,spon,24.0,1
1217,det,24.0,1
1218,epa,24.0,1
1219,tament,24.0,1
1220,ave,24.0,1
1221,plica,24.0,1
1222,ientos,24.0,1
1223,ald,24.0,1
1224,nici,24.0,1
1225,iri,24.0,1
1226,bor,24.0,1
1227,vad,24.0,1
1228,agr,24.0,1
1229,iene,23.0,1
1230,contra,23.0,1
1231,ontra,23.0,1
1232,presi,23.0,1
1233,uch,23.0,1
1234,nía,23.0,1
1235,ode,23.0,1
1236,tido,23.0,1
1237,rso,23.0,1
1238,uent,23.0,1
1239,sist,23.0,1
1240,eje,23.0,1
1241,acu,23.0,1
1242,desa,23.0,1
1243,real,23.0,1
1244,rob,23.0,1
1245,obl,23.0,1
1246,cier,23.0,1
1247,erto,23.0,1
1248,arios,23.0,1
1249,pal,23.0,1
1250,lab,23.0,1
1251,mé,23.0,1
